Year,JobTitle,count,mean,std,min,25%,50%,75%,max
2011,ACCOUNT CLERK,83.0,44035.66433734941,13170.742908179254,614.0,42984.009999999995,49777.82,50401.81,60838.2
2011,ACCOUNTANT,5.0,47429.268,27137.331315178544,1148.4,45304.38,60076.24,65225.31,65392.01
2011,ACCOUNTANT INTERN,48.0,29031.74291666667,20711.322648870108,2981.53,9940.0,17658.504999999997,53789.8,58799.53
2011,ACUPUNCTURIST,1.0,67594.4,,67594.4,67594.4,67594.4,67594.4,67594.4
2011,ADMINISTRATIVE ANALYST,93.0,63954.867526881724,18613.69583922441,2388.24,62136.51,71602.9,75005.63,79754.03
2011,ADMINISTRATIVE ANALYST II,2.0,61497.035,19924.55082435863,47408.25,54452.6425,61497.035,68541.4275,75585.82
2011,ADMINISTRATIVE ANALYST III,2.0,92698.515,209.98950080896984,92550.03,92624.27249999999,92698.515,92772.7575,92847.0
2011,ADMINISTRATIVE ENGINEER,10.0,127961.43000000001,14993.074838492752,91833.33,129235.23000000001,130171.065,133775.53,149322.23
2011,ADMINISTRATIVE SERVICES MANAGER,3.0,77015.58,20033.539610171236,54261.37,69522.37,84783.37,88392.685,92002.0
2011,"ADMINISTRATOR, SFGH MEDICAL CENTER",1.0,257124.44,,257124.44,257124.44,257124.44,257124.44,257124.44
2011,AFFIRMATIVE ACTION SPECIALIST,6.0,68213.98333333332,26646.805332345313,13872.5,77468.87,79621.68,79696.0,79696.0
2011,AGRICULTURAL INSPECTOR,2.0,53586.1,6786.1037790472965,48787.6,51186.85,53586.1,55985.35,58384.6
2011,"AIRPORT ASSISTANT DEPUTY DIRECTOR, BUSINESS ADMINI",1.0,1927.5,,1927.5,1927.5,1927.5,1927.5,1927.5
2011,"AIRPORT ASSISTANT DEPUTY DIRECTOR, OPERATIONS",1.0,15420.0,,15420.0,15420.0,15420.0,15420.0,15420.0
2011,AIRPORT COMMUNICATIONS OPERATOR,27.0,81214.80962962964,17198.28625933219,40624.68,79356.70000000001,84652.51,90271.39,106776.25
2011,AIRPORT COMMUNICATIONS SUPERVISOR,2.0,88180.0,429.440090350219,87876.34,88028.17,88180.0,88331.83,88483.66
2011,AIRPORT ECONOMIC PLANNER,13.0,108264.82153846153,4006.2554606366234,101590.74,106413.02,109113.16,111811.49,111811.72
2011,AIRPORT ELECTRICIAN,17.0,108707.82823529412,6144.361579148434,98061.21,105029.52,110872.37,112058.23,118617.32
